"gene","modules","cell_type","module_name","name","merge_module"
"EEF1A1","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"EEF1B2","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"NACA","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL10","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL11","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL12","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL13","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL14","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL18","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL19","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL24","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL29","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL3","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL30","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL32","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL5","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL7A","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPL8","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPLP1","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS12","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS13","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS14","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS15","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS15A","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS19","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS23","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS27A","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS3","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS4X","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS5","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS7","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS8","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"RPS9","15_1","B","B_1_1","B_1_1: RNA, Nuclear","B_1"
"CRELD2","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
